GENDER,HOME_VALUE,HH_INCOME,NET_WORTH,PRES_KIDS,AGE,HOMEOWNER,CREDIT_RATING,PART_AFFILIATION,CONFIDENCE_LEVEL,BUBBLES,Childrens_Recency_of_Purchase,Fashion_Accessories_and_Beauty_Recency_of_Purchase,Female_and_Male_Apparel_Recency_of_Purchase,High_Ticket_Female_Apparel_Acc_Recency_of_Purchase,High_Ticket_Home_Decor_Recency_of_Purchase,Home_Decor_Recency_of_Purchase,Intimate_Apparel_and_Undergarments_Recency_of_Purchase,Kitchen_and_Bath_Recency_of_Purchase,Male_Apparel_Recency_of_Purchase,Modern_Contemporary_Decor_and_Gifts_Recency_of_Purchase,Other_Recency_of_Purchase,Purchase_Date_Range,TARGET
M,R,N,G,,75+,H,C,R,0,Silver Sneakers,,,,,2,2,,,1,,,1,1
M,Q,N,H,,45-54,H,B,,0,Successful Singles,,,4,,1,1,,2,4,1,,1,1
F,F,N,G,,65-74,H,C,,0,Smart Singles,,,,,,,,,,,,1,1
M,S,M,I,,65-74,H,C,I,0,Home for the Holidays,,,4,1,1,3,5,2,2,1,,1,1
F,S,O,I,TRUE,45-54,H,B,R,0,Minivans and Malls,4,4,5,,4,4,2,,3,5,,2,1
M,R,O,I,FALSE,65-74,H,C,,0,Single and Thriving,,,,,2,,,,,4,,2,1
F,,M,I,TRUE,45-54,,,D,0,Working for the Weekend,5,4,4,4,4,5,3,,4,4,5,1,1
F,,S,G,TRUE,65-74,H,,D,0,Old Money,5,1,2,2,1,1,5,5,5,5,5,1,1
F,S,R,I,TRUE,35-44,H,B,,0,Jet Setters,4,,,,2,5,,3,,2,,2,1
M,,,,,35-44,,,,1,Date Nights City Lights,1,,,,1,,,,,1,,1,1
M,,,,,35-44,,,,1,Date Nights City Lights,1,,,,1,,,,,1,,1,1
F,S,S,I,TRUE,35-44,H,B,D,0,Life in the Fast Lane,,5,2,5,5,,5,5,,5,,2,1
F,S,S,I,TRUE,35-44,H,B,D,0,Life in the Fast Lane,,5,2,5,5,,5,5,,5,,2,1
F,S,S,I,TRUE,35-44,H,B,D,0,Life in the Fast Lane,,5,2,5,5,,5,5,,5,,2,1
M,S,Q,I,,65-74,H,C,,0,Urban Elites,,,2,,,,,,,,,1,1
F,R,R,I,,65-74,H,B,,0,Wealth Whispers,,2,2,,1,3,,2,2,5,,1,1
F,U,N,I,,35-44,R,C,D,0,Date Nights City Lights,,3,1,1,3,4,5,,,3,,1,1
F,U,N,I,,35-44,R,C,D,0,Date Nights City Lights,,3,1,1,3,4,5,,,3,,1,1
M,U,H,A,TRUE,35-44,R,E,,0,Single and Surviving,,,5,,2,5,,2,5,3,,2,1
M,R,Q,I,TRUE,35-44,H,D,D,0,Life in the Fast Lane,4,,,,,,,,,,,4,1
M,R,Q,I,TRUE,35-44,H,D,D,0,Life in the Fast Lane,4,,,,,,,,,,,4,1
F,,,I,,75+,H,,,0,Old Money,5,,2,4,1,,,,,1,,1,1
F,S,R,I,TRUE,55-64,H,B,D,0,Wealth Whispers,,1,1,2,3,,3,3,1,3,,1,1
F,S,S,I,FALSE,35-44,H,B,D,0,Glitterati,5,4,1,1,4,5,3,5,4,4,,1,1
M,R,O,I,TRUE,45-54,H,D,I,0,Jet Setters,,,,,3,3,,,,5,,3,1
F,R,S,I,TRUE,45-54,H,B,R,0,Jet Setters,,5,5,,2,,5,2,,2,,2,1
F,S,N,I,FALSE,45-54,H,B,R,0,Working for the Weekend,5,,,,3,,,3,1,,,1,1
F,S,S,I,TRUE,55-64,H,B,D,0,Wealth Whispers,,,,,,,,,,,,,1
F,S,S,I,TRUE,55-64,H,B,D,0,Wealth Whispers,,,,,,,,,,,,,1
F,Q,N,I,,35-44,H,E,L,0,Downtown Dreamers,,,3,2,1,5,2,,,1,,1,1
F,S,R,H,TRUE,45-54,H,,D,0,Lowkey Luxe,,,5,,2,,,2,,5,5,1,1
F,S,Q,I,TRUE,75+,H,B,R,0,Old Money,,,2,,2,,,5,,2,,1,1
F,S,S,I,TRUE,55-64,H,C,,0,Wealth Whispers,2,3,5,1,1,3,5,,5,1,5,1,1
F,S,R,H,TRUE,55-64,H,,D,0,Wealth Whispers,,5,1,2,4,,4,,2,4,3,1,1
F,U,N,H,TRUE,35-44,R,D,R,0,Movin On Up,5,3,4,5,1,,5,5,,5,,1,1
F,Q,O,H,TRUE,25-34,H,C,I,0,Glitterati,,,,,,,,,,,,,1
F,N,S,I,TRUE,35-44,H,C,D,0,Life in the Fast Lane,,4,,5,2,4,,2,,2,,2,1
M,,H,G,,65-74,H,,,2,Mid Century Moderns,,,,,,,,,,,,2,1
M,K,O,G,,55-64,H,B,D,0,Jet Setters,,,,,2,5,,5,5,2,,2,1
F,O,M,I,TRUE,45-54,H,D,D,0,Working for the Weekend,,,,,,,,,,,,,1
F,O,M,I,TRUE,45-54,H,D,D,0,Working for the Weekend,,,,,,,,,,,,,1
F,O,M,I,TRUE,45-54,H,D,D,0,Working for the Weekend,,,,,,,,,,,,,1
F,O,M,I,TRUE,45-54,H,D,D,0,Working for the Weekend,,,,,,,,,,,,,1
F,O,M,I,TRUE,45-54,H,D,D,0,Working for the Weekend,,,,,,,,,,,,,1
F,S,S,I,TRUE,55-64,H,,L,0,Wealth Whispers,,1,5,4,1,3,1,2,5,1,,1,1
F,U,J,I,,25-34,H,,,0,Date Nights City Lights,,1,2,3,5,5,,5,,5,5,1,1
F,,H,,FALSE,18-24,R,,,2,Tik Tok and Tie Dye,,,,,,,,,,,,,1
F,S,O,I,TRUE,45-54,H,B,D,0,Jet Setters,,,,,,,,,,,,5,1
F,S,O,I,TRUE,45-54,H,B,D,0,Jet Setters,,,,,,,,,,,,5,1
M,S,N,G,TRUE,35-44,H,B,L,0,Movin On Up,5,4,,,2,5,,3,5,2,,1,1
M,S,N,G,TRUE,35-44,H,B,L,0,Movin On Up,5,4,,,2,5,,3,5,2,,1,1
M,U,R,I,TRUE,55-64,H,B,,0,Jet Setters,,,,,,,,,,,,5,1
F,M,J,F,,65-74,H,C,I,0,Silver Sneakers,,,,,,,,,,,,,1
M,S,J,F,TRUE,45-54,H,,,0,Movin On Up,5,,,,,,,,,,,1,1
F,S,J,D,,55-64,H,A,D,0,Single Sophisticates,,5,5,2,1,1,4,,5,1,2,1,1
F,S,R,I,TRUE,55-64,H,,,0,Wealth Whispers,,,,,,,,,,,,,1
F,S,R,I,TRUE,55-64,H,,,0,Wealth Whispers,,,,,,,,,,,,,1
F,S,S,I,TRUE,45-54,H,C,D,0,Lowkey Luxe,,5,3,1,2,2,5,5,1,4,5,1,1
F,N,I,I,TRUE,45-54,H,D,D,0,American Dreamers,,,,,1,1,,,,,,1,1
M,S,D,I,TRUE,45-54,H,C,R,0,Single and Surviving,,3,5,,2,,,5,,5,,2,1
F,S,O,H,TRUE,45-54,H,A,D,0,Lowkey Luxe,,,,,,,,,,,,,1
F,G,N,E,TRUE,45-54,H,C,R,0,Working for the Weekend,,,,,,,,,,,,5,1
M,Q,P,G,,45-54,H,,,0,Patriotic and Proud,,4,,5,4,,,,,5,,3,1
M,Q,P,G,,45-54,H,,,0,Patriotic and Proud,,4,,5,4,,,,,5,,3,1
F,S,S,I,TRUE,65-74,H,B,D,0,Urban Elites,,1,,,3,,,5,,3,,1,1
M,S,S,I,TRUE,45-54,H,C,,0,Jet Setters,,1,1,1,1,1,5,2,,1,5,1,1
M,,L,H,,65-74,R,,,0,Single Sophisticates,,,,,,,,,,,,2,1
M,,L,H,,65-74,R,,,0,Single Sophisticates,,,,,,,,,,,,2,1
M,,L,H,,65-74,R,,,0,Single Sophisticates,,,,,,,,,,,,2,1
F,S,S,I,TRUE,35-44,H,B,,0,Glitterati,,4,1,,1,4,5,2,,1,5,1,1
F,S,N,I,TRUE,35-44,H,D,,0,Date Nights City Lights,4,,5,,1,4,,,,1,,1,1
F,S,N,I,TRUE,35-44,H,D,,0,Date Nights City Lights,4,,5,,1,4,,,,1,,1,1
F,S,Q,I,,65-74,H,,R,0,Wealth Whispers,,,1,,1,1,,,,,,1,1
F,Q,P,I,,55-64,H,B,R,0,Single and Thriving,2,,,1,1,5,,,,1,,1,1
M,R,O,G,FALSE,35-44,H,D,D,0,Life in the Fast Lane,5,5,,1,5,,,,5,5,,1,1
F,U,Q,I,FALSE,45-54,H,C,,0,Jet Setters,,3,2,1,2,2,,,,1,5,1,1
M,S,S,I,,75+,H,B,,0,Senior Elite,,,,,2,,,,,2,,2,1
F,U,S,I,TRUE,25-34,H,C,,0,Life in the Fast Lane,,5,,5,2,5,,4,,2,,1,1
F,U,S,I,TRUE,35-44,H,C,,0,Life in the Fast Lane,5,,,,,,,,3,,,1,1
M,A,N,A,TRUE,35-44,H,,D,0,Single in the Suburbs,,,,,4,5,,,,4,,4,1
F,O,N,H,TRUE,25-34,H,B,D,0,Date Nights City Lights,,,3,2,1,5,3,4,,1,5,1,1
M,U,S,I,TRUE,55-64,R,,,0,Wealth Whispers,,5,,,,5,,,,,5,1,1
M,,O,I,TRUE,65-74,H,,D,0,Country Club Set,3,,1,,1,1,,,,5,,1,1
M,J,O,I,,55-64,H,D,D,0,Single and Thriving,,,1,,,,,,1,,,1,1
M,P,R,H,TRUE,35-44,H,C,,0,Life in the Fast Lane,,5,2,,3,4,,3,,3,2,2,1
M,S,R,I,,55-64,H,B,R,0,Single and Thriving,,,,,,,,,,,,,1
M,S,R,I,,55-64,H,B,R,0,Single and Thriving,,,,,,,,,,,,,1
M,U,S,I,TRUE,35-44,,,R,0,Life in the Fast Lane,,4,5,,2,,,5,1,2,3,1,1
M,U,S,I,TRUE,35-44,,,R,0,Life in the Fast Lane,,4,5,,2,,,5,1,2,3,1,1
M,S,S,I,TRUE,45-54,H,C,I,0,Jet Setters,,5,4,,3,,,,,3,,2,1
F,U,Q,I,,75+,H,C,D,0,Country Club Set,5,5,2,,5,,5,,,5,5,2,1
F,U,Q,I,,75+,H,C,D,0,Country Club Set,5,5,2,,5,,5,,,5,5,2,1
F,N,P,H,TRUE,55-64,H,C,L,0,Jet Setters,5,,2,2,2,2,,,5,2,,2,1
M,R,J,F,TRUE,55-64,H,,D,0,Working for the Weekend,1,3,3,2,2,3,5,5,1,2,,1,1
M,S,Q,I,TRUE,45-54,H,,D,0,Jet Setters,,2,2,,2,5,,3,2,2,,2,1
M,S,Q,I,TRUE,45-54,H,,D,0,Jet Setters,,2,2,,2,5,,3,2,2,,2,1
F,U,Q,I,TRUE,35-44,H,C,L,0,Glitterati,3,4,3,,5,,,5,,5,,2,1
F,S,S,I,TRUE,55-64,H,B,R,0,Jet Setters,,2,1,1,2,4,2,2,1,4,5,1,1
F,U,S,I,,45-54,R,D,D,0,Lowkey Luxe,5,5,5,5,1,5,2,1,,,,1,1
F,S,S,I,TRUE,25-34,H,B,I,0,Life in the Fast Lane,,,,,,,,,5,,,1,1
M,S,S,I,TRUE,55-64,H,C,D,0,Wealth Whispers,,,,,,,,,,,,,1
M,U,K,H,,25-34,R,D,D,0,Date Nights City Lights,,5,,,1,5,,,5,1,,1,1
M,U,K,H,,25-34,R,D,D,0,Date Nights City Lights,,5,,,1,5,,,5,1,,1,1
M,,H,H,,35-44,R,,D,0,Subway Surfers,,5,,,3,3,,5,,3,,3,1
F,S,S,I,TRUE,45-54,H,B,R,0,Jet Setters,5,,1,2,1,1,,3,5,,5,1,1
F,S,O,H,TRUE,25-34,H,G,D,0,Life in the Fast Lane,5,,5,1,2,5,,,3,2,,1,1
F,,Q,I,TRUE,35-44,R,,,0,Life in the Fast Lane,,,5,,,,,5,,,,5,1
F,S,O,I,,55-64,H,B,,0,Jet Setters,2,,,,5,,,,,,,2,1
F,S,O,I,,55-64,H,B,,0,Jet Setters,2,,,,5,,,,,,,2,1
M,U,S,I,TRUE,35-44,R,C,D,0,Lowkey Luxe,4,3,1,2,2,5,4,5,2,2,,1,1
F,U,F,A,TRUE,35-44,R,C,L,0,Subway Surfers,,5,5,2,2,,3,4,,3,1,1,1
M,U,H,A,FALSE,35-44,R,D,R,0,Subway Surfers,,,,5,1,4,,,3,1,4,1,1
F,U,O,I,FALSE,45-54,H,D,,0,Jet Setters,,5,4,2,4,4,4,,,4,1,1,1
F,R,N,A,TRUE,35-44,H,,,0,Downtown Dreamers,,5,2,,2,,2,5,5,2,,1,1
F,P,S,A,TRUE,35-44,H,C,L,0,Glitterati,,,,,,,,,,,,,1
F,S,S,I,TRUE,55-64,H,B,D,0,Wealth Whispers,,4,1,4,1,1,,5,,1,,1,1
M,R,S,I,,65-74,H,E,,0,Single and Thriving,,,,4,,,4,,1,,,1,1
M,R,S,I,,65-74,H,E,,0,Single and Thriving,,,,4,,,4,,1,,,1,1
M,R,S,I,,65-74,H,E,,0,Single and Thriving,,,,4,,,4,,1,,,1,1
F,Q,S,I,,55-64,H,C,I,0,Wealth Whispers,,5,3,3,1,3,4,,,1,3,1,1
F,U,S,I,,75+,R,C,R,0,Urban Elites,4,5,,1,2,5,4,2,,3,,1,1
M,Q,O,I,TRUE,35-44,H,B,I,0,Jet Setters,,,5,2,1,1,,,,5,,1,1
M,Q,O,I,TRUE,35-44,H,B,I,0,Jet Setters,,,5,2,1,1,,,,5,,1,1
M,S,S,I,TRUE,35-44,H,B,R,0,Life in the Fast Lane,3,5,,5,1,3,5,2,5,1,2,1,1
F,,O,I,TRUE,55-64,H,,,0,Single and Thriving,,3,1,2,5,5,3,5,,5,,1,1
M,K,J,H,,75+,H,B,D,0,Silver Sneakers,,,,,2,,,,,2,,2,1
M,Q,R,I,TRUE,25-34,H,C,D,0,Life in the Fast Lane,,,,,,,,,,,,,1
F,S,R,I,FALSE,55-64,H,B,,0,Single and Thriving,,5,1,1,1,1,4,5,,1,,1,1
M,,H,F,,55-64,H,,D,0,Urban Mashup,,,,,4,,,,,4,,4,1
F,S,R,I,TRUE,35-44,H,B,D,0,Lowkey Luxe,5,5,1,1,1,1,5,,4,2,,1,1
F,S,P,I,TRUE,55-64,H,B,I,0,Single and Thriving,,,,5,5,5,3,,,5,5,1,1
F,R,R,I,,65-74,H,B,L,0,Urban Elites,,,5,,5,,5,,,5,,2,1
M,S,R,I,,55-64,H,C,D,0,Single and Thriving,5,1,,,2,,,,4,2,,1,1
F,O,O,H,TRUE,45-54,H,D,R,0,Jet Setters,,,,,,,,,,,,,1
F,O,O,H,TRUE,45-54,H,D,R,0,Jet Setters,,,,,,,,,,,,,1
F,,,,FALSE,35-44,,,D,0,Life in the Fast Lane,,,,,1,,,,,1,,1,1
M,E,L,G,TRUE,45-54,H,D,,0,Working for the Weekend,,3,,4,1,1,5,5,,,,1,1
F,U,O,I,,75+,H,B,I,0,Urban Elites,,,,,5,,,,2,5,,2,1
M,S,R,I,,75+,H,B,D,0,Urban Elites,,,,,,,,,,,,3,1
F,M,J,F,,75+,H,B,,0,Silver Sneakers,,4,,,4,5,,4,,,,1,1
F,,N,H,,65-74,H,,,0,Country Clout,,,3,,,,,,5,5,,2,1
F,K,M,G,TRUE,75+,H,B,,0,Golden Era,5,2,2,1,1,2,5,1,1,1,,1,1
F,N,N,I,TRUE,35-44,H,B,D,0,Movin On Up,,2,2,,1,1,,,,1,5,1,1
M,J,O,H,TRUE,45-54,H,,,0,Jet Setters,5,4,,5,5,,,,,5,,4,1
F,Q,N,I,TRUE,55-64,H,C,,0,Dynamic Duos,,,,,1,1,,,,1,4,1,1
F,,Q,I,,55-64,9,,,2,Jet Setters,,,4,,2,,5,,,2,,2,1
M,,A,I,FALSE,35-44,H,,D,0,Penny Pinching Couples,,,,,,,2,,1,,2,1,1
F,G,O,F,TRUE,45-54,H,D,R,0,Jet Setters,,,3,5,4,,,4,,,,3,1
F,G,O,F,TRUE,45-54,H,D,R,0,Jet Setters,,,3,5,4,,,4,,,,3,1
F,G,O,F,TRUE,45-54,H,D,R,0,Jet Setters,,,3,5,4,,,4,,,,3,1
M,O,N,C,TRUE,45-54,H,C,D,0,Successful Singles,,,1,,1,5,,,,1,,1,1
F,U,O,I,TRUE,55-64,H,B,,0,Single and Thriving,,3,5,2,3,,5,5,5,,1,1,1
M,,A,A,TRUE,35-44,8,,D,0,Subway Surfers,,5,,,1,,,,2,1,,1,1
M,,A,A,TRUE,35-44,8,,D,0,Subway Surfers,,5,,,1,,,,2,1,,1,1
F,Q,O,H,TRUE,25-34,H,C,,0,Life in the Fast Lane,,,5,,,,,,,,,5,1
M,S,O,I,TRUE,25-34,H,,R,0,Glitterati,5,5,2,4,1,5,5,5,5,1,,1,1
M,Q,J,H,TRUE,35-44,H,D,R,0,Movin On Up,,,,,,,,,,,,,1
F,,J,H,TRUE,65-74,R,,D,0,Smart Singles,3,4,,3,1,,5,2,,2,,1,1
F,U,L,A,TRUE,35-44,R,,I,0,Date Nights City Lights,,,,,,,,,,,,,1
F,S,S,I,TRUE,65-74,H,D,U,0,Urban Elites,,5,3,1,2,3,5,4,4,2,,1,1
F,,,I,FALSE,45-54,,,,0,Jet Setters,,,,2,,,2,,,,,2,1
F,U,O,H,FALSE,35-44,R,B,,0,Life in the Fast Lane,,1,,,1,1,4,5,3,1,5,1,1
F,U,O,H,FALSE,35-44,R,B,,0,Life in the Fast Lane,,1,,,1,1,4,5,3,1,5,1,1
M,O,K,F,FALSE,55-64,H,E,R,0,Single Sophisticates,,,,,2,,,,4,2,,2,1
F,G,J,B,FALSE,35-44,H,F,,0,Working for the Weekend,,,,,,,,,,,,,1
F,S,S,I,TRUE,35-44,H,D,R,0,Jet Setters,4,,1,1,2,,,,,2,,1,1
F,U,H,G,TRUE,35-44,R,C,D,0,Subway Surfers,,,,,,,,,,,,4,1
M,,O,I,,75+,R,,D,0,Old Money,,5,,,,5,5,,5,,,3,1
F,O,R,I,,45-54,H,B,R,0,Jet Setters,,,3,1,1,5,1,1,,2,5,1,1
F,U,O,I,FALSE,,,,,0,Jet Setters,,,,,,,,,,,,,1
F,U,O,I,FALSE,,,,,0,Jet Setters,,,,,,,,,,,,,1
F,U,O,I,FALSE,,,,,0,Jet Setters,,,,,,,,,,,,,1
F,U,O,I,FALSE,,,,,0,Jet Setters,,,,,,,,,,,,,1
M,R,R,I,TRUE,75+,H,C,R,0,Old Money,,5,5,,,,5,,5,,,2,1
M,U,R,H,,55-64,H,B,D,0,Wealth Whispers,,,,,,,,,,,,,1
F,,O,I,TRUE,55-64,H,,R,0,Lowkey Luxe,,,2,1,4,,5,,,4,,1,1
F,,,,,65-74,,,D,1,Urban Elites,,2,,,,,,4,,,,2,1
F,,,,,65-74,,,D,1,Urban Elites,,2,,,,,,4,,,,2,1
F,S,S,I,TRUE,25-34,H,,D,0,Life in the Fast Lane,,4,,,5,5,,,,,,2,1
M,O,N,F,TRUE,55-64,H,D,D,0,Movin On Up,,,,,2,2,,3,,,,2,1
F,M,N,G,FALSE,35-44,H,C,D,0,Date Nights City Lights,,5,,5,,,5,5,,,,5,1
F,M,N,G,FALSE,35-44,H,C,D,0,Date Nights City Lights,,5,,5,,,5,5,,,,5,1
F,Q,P,I,FALSE,55-64,H,B,D,0,Suburban Socialites,,,,5,1,4,5,,,1,2,1,1
F,U,S,I,TRUE,45-54,R,B,,0,Jet Setters,4,4,1,2,5,5,5,,,,,1,1
F,Q,N,I,TRUE,35-44,H,C,,0,Movin On Up,,,,,,,,,,,,,1
F,,L,,FALSE,,,,,2,Smart Singles,,,,,,,,,,,,,1
F,U,S,I,TRUE,45-54,H,C,D,0,Jet Setters,,,,,,,,,,,,4,1
F,S,Q,I,TRUE,45-54,H,B,R,0,Lowkey Luxe,5,5,1,1,2,2,5,3,2,4,2,1,1
F,S,Q,I,TRUE,45-54,H,B,R,0,Lowkey Luxe,5,5,1,1,2,2,5,3,2,4,2,1,1
M,Q,N,E,TRUE,35-44,H,E,D,0,Downtown Dreamers,5,5,1,5,2,4,3,5,,4,,1,1
M,H,F,F,TRUE,75+,H,E,R,0,Blue Collar Boomers,5,5,5,,1,,,,,5,,1,1
F,R,O,I,TRUE,65-74,R,A,R,0,Single and Thriving,,,,1,5,,,5,,,,1,1
F,R,O,I,TRUE,65-74,R,A,R,0,Single and Thriving,,,,1,5,,,5,,,,1,1
F,O,L,H,TRUE,45-54,H,C,R,0,Successful Singles,,1,2,1,1,,,3,,2,,1,1
F,G,N,H,,75+,H,C,R,0,Smart Singles,,1,4,,2,,,,2,2,2,1,1
F,U,L,E,TRUE,65-74,H,D,,0,Smart Singles,5,3,3,4,2,,4,2,3,4,,1,1
F,,,,FALSE,45-54,,,,2,Jet Setters,,3,,5,2,,,5,,3,,2,1
