variable,importance,coefficient,cost,lift,match_rate,base_variable,expected_lift,cost_effectiveness,recommendation
HOME_VALUE_B,0.0696800277140791,0.0696800277140791,1,0.0696800277140791,,HOME_VALUE,0.0005463498589896,,High-Value Variables (Strong Impact)
AGE_75+,0.0667596655665343,-0.0667596655665343,1,0.0667596655665343,,AGE,0.0005234517704002,,High-Value Variables (Strong Impact)
BUBBLES_Old Money,0.0655277286421207,-0.0655277286421207,1,0.0655277286421207,,BUBBLES,0.0005137923516684,,High-Value Variables (Strong Impact)
BUBBLES_Minivans and Malls,0.0626956321342892,-0.0626956321342892,1,0.0626956321342892,,BUBBLES,0.000491586339724,,High-Value Variables (Strong Impact)
HOME_VALUE_G,0.0614016414123775,0.0614016414123775,1,0.0614016414123775,,HOME_VALUE,0.0004814403671743,,High-Value Variables (Strong Impact)
BUBBLES_Urban Mashup,0.0613209318119163,-0.0613209318119163,1,0.0613209318119163,,BUBBLES,0.0004808075362143,,High-Value Variables (Strong Impact)
CREDIT_RATING_G,0.0610452070527389,0.0610452070527389,1,0.0610452070527389,,CREDIT_RATING,0.0004786456228478,,High-Value Variables (Strong Impact)
PART_AFFILIATION_L,0.060057080363336,-0.060057080363336,1,0.060057080363336,,PART_AFFILIATION,0.0004708978808458,,High-Value Variables (Strong Impact)
BUBBLES_Glitterati,0.0569331458337323,0.0569331458337323,1,0.0569331458337323,,BUBBLES,0.0004464036140418,,High-Value Variables (Strong Impact)
BUBBLES_Patriotic and Proud,0.0557250852387951,0.0557250852387951,1,0.0557250852387951,,BUBBLES,0.0004369314057584,,High-Value Variables (Strong Impact)
PART_AFFILIATION_N,0.0557190982194901,-0.0557190982194901,1,0.0557190982194901,,PART_AFFILIATION,0.0004368844625057,,High-Value Variables (Strong Impact)
BUBBLES_Friday Night Lights,0.0546703055023131,-0.0546703055023131,1,0.0546703055023131,,BUBBLES,0.0004286610479644,,High-Value Variables (Strong Impact)
PART_AFFILIATION_D,0.0541126745263113,0.0541126745263113,1,0.0541126745263113,,PART_AFFILIATION,0.0004242887534189,,High-Value Variables (Strong Impact)
BUBBLES_High Tech Rednecks,0.0518073571801453,-0.0518073571801453,1,0.0518073571801453,,BUBBLES,0.0004062131319198,,High-Value Variables (Strong Impact)
BUBBLES_Country Club Set,0.0514427515956647,-0.0514427515956647,1,0.0514427515956647,,BUBBLES,0.0004033543183372,,High-Value Variables (Strong Impact)
HH_INCOME_G,0.0493626157575493,0.0493626157575493,1,0.0493626157575493,,HH_INCOME,0.0003870443087244,,Supplementary Variables (Moderate to Low Impact)
CREDIT_RATING_D,0.0491249610363491,-0.0491249610363491,1,0.0491249610363491,,CREDIT_RATING,0.0003851808963856,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Single in the Suburbs,0.048722595353827,-0.048722595353827,1,0.048722595353827,,BUBBLES,0.0003820260119643,,Supplementary Variables (Moderate to Low Impact)
CREDIT_RATING_MISSING,0.0471312945088442,0.0471312945088442,1,0.0471312945088442,,CREDIT_RATING,0.0003695488786911,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Affluent Acres,0.0470540263858725,-0.0470540263858725,1,0.0470540263858725,,BUBBLES,0.0003689430318011,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Melting Pot Medley,0.0470347488340767,-0.0470347488340767,1,0.0470347488340767,,BUBBLES,0.0003687918796266,,Supplementary Variables (Moderate to Low Impact)
HH_INCOME_A,0.0468482518094313,0.0468482518094313,1,0.0468482518094313,,HH_INCOME,0.0003673295865355,,Supplementary Variables (Moderate to Low Impact)
HOMEOWNER_9,0.046481517282179,-0.046481517282179,1,0.046481517282179,,HOMEOWNER,0.0003644540802559,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Subway Surfers,0.0460368578569577,0.0460368578569577,1,0.0460368578569577,,BUBBLES,0.0003609675774195,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Senior Society,0.0452372832791528,0.0452372832791528,1,0.0452372832791528,,BUBBLES,0.000354698242114,,Supplementary Variables (Moderate to Low Impact)
HOME_VALUE_N,0.0451133789263474,-0.0451133789263474,1,0.0451133789263474,,HOME_VALUE,0.0003537267280675,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Golden Era,0.0441248848510471,-0.0441248848510471,1,0.0441248848510471,,BUBBLES,0.000345976105452,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Startup Nation,0.0438259847767473,-0.0438259847767473,1,0.0438259847767473,,BUBBLES,0.0003436324781774,,Supplementary Variables (Moderate to Low Impact)
HOME_VALUE_Q,0.0438010166365019,-0.0438010166365019,1,0.0438010166365019,,HOME_VALUE,0.0003434367070167,,Supplementary Variables (Moderate to Low Impact)
HH_INCOME_N,0.0406400595901045,-0.0406400595901045,1,0.0406400595901045,,HH_INCOME,0.0003186521526296,,Supplementary Variables (Moderate to Low Impact)
HOME_VALUE_J,0.0376500202026403,-0.0376500202026403,1,0.0376500202026403,,HOME_VALUE,0.0002952077360399,,Supplementary Variables (Moderate to Low Impact)
HH_INCOME_J,0.0375120183829852,-0.0375120183829852,1,0.0375120183829852,,HH_INCOME,0.0002941256860295,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Successful Singles,0.0365981521134252,0.0365981521134252,1,0.0365981521134252,,BUBBLES,0.0002869602080025,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Back at the Ranch,0.0364335731427934,0.0364335731427934,1,0.0364335731427934,,BUBBLES,0.0002856697708378,,Supplementary Variables (Moderate to Low Impact)
High_Ticket_Female_Apparel_Acc_Recency_of_Purchase,0.0364137416453655,-0.0364137416453655,1,0.0364137416453655,18.987215783420332,High_Ticket_Female_Apparel_Acc_Recency_of_Purchase,0.000285514275265,,Supplementary Variables (Moderate to Low Impact)
HH_INCOME_E,0.0351019665080474,0.0351019665080474,1,0.0351019665080474,,HH_INCOME,0.0002752288579824,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Young Middle Managers,0.0330887658887492,0.0330887658887492,1,0.0330887658887492,,BUBBLES,0.0002594436766248,,Supplementary Variables (Moderate to Low Impact)
GENDER_MISSING,0.0314431619851615,-0.0314431619851615,1,0.0314431619851615,,GENDER,0.0002465407618273,,Supplementary Variables (Moderate to Low Impact)
PART_AFFILIATION_U,0.0308982990396681,-0.0308982990396681,1,0.0308982990396681,,PART_AFFILIATION,0.0002422685793497,,Supplementary Variables (Moderate to Low Impact)
HOME_VALUE_R,0.0299321467344976,0.0299321467344976,1,0.0299321467344976,,HOME_VALUE,0.0002346931349504,,Supplementary Variables (Moderate to Low Impact)
CREDIT_RATING_A,0.0297059104209616,-0.0297059104209616,1,0.0297059104209616,,CREDIT_RATING,0.0002329192525044,,Supplementary Variables (Moderate to Low Impact)
HH_INCOME_MISSING,0.02957474037173,-0.02957474037173,1,0.02957474037173,,HH_INCOME,0.0002318907693041,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Dynamic Duos,0.0294369639293941,-0.0294369639293941,1,0.0294369639293941,,BUBBLES,0.0002308104864409,,Supplementary Variables (Moderate to Low Impact)
Home_Decor_Recency_of_Purchase,0.0287569573581432,-0.0287569573581432,1,0.0287569573581432,23.33672476333717,Home_Decor_Recency_of_Purchase,0.0002254786645904,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Lowkey Luxe,0.0286624766990648,-0.0286624766990648,1,0.0286624766990648,,BUBBLES,0.0002247378569808,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Silver Sneakers,0.0278529268572584,-0.0278529268572584,1,0.0278529268572584,,BUBBLES,0.0002183903072391,,Supplementary Variables (Moderate to Low Impact)
PRES_KIDS_False,0.0277292271762169,0.0277292271762169,1,0.0277292271762169,,PRES_KIDS,0.0002174203979909,,Supplementary Variables (Moderate to Low Impact)
Fashion_Accessories_and_Beauty_Recency_of_Purchase,0.026978456465643,0.026978456465643,1,0.026978456465643,37.04326285057065,Fashion_Accessories_and_Beauty_Recency_of_Purchase,0.0002115337259371,,Supplementary Variables (Moderate to Low Impact)
NET_WORTH_F,0.0263360216316152,0.0263360216316152,1,0.0263360216316152,,NET_WORTH,0.0002064964980183,,Supplementary Variables (Moderate to Low Impact)
NET_WORTH_C,0.0257624463394677,0.0257624463394677,1,0.0257624463394677,,NET_WORTH,0.0002019991866615,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Movin On Up,0.0239434814678126,0.0239434814678126,1,0.0239434814678126,,BUBBLES,0.0001877369764739,,Supplementary Variables (Moderate to Low Impact)
AGE_65-74,0.0232250823311956,0.0232250823311956,1,0.0232250823311956,,AGE,0.0001821041247104,,Supplementary Variables (Moderate to Low Impact)
HOME_VALUE_L,0.022975548627339,-0.022975548627339,1,0.022975548627339,,HOME_VALUE,0.0001801475711844,,Supplementary Variables (Moderate to Low Impact)
Childrens_Recency_of_Purchase,0.0220811573498998,-0.0220811573498998,1,0.0220811573498998,21.7010970538795,Childrens_Recency_of_Purchase,0.0001731347934296,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_American Classics,0.0209123306142336,-0.0209123306142336,1,0.0209123306142336,,BUBBLES,0.000163970211509,,Supplementary Variables (Moderate to Low Impact)
HOMEOWNER_8,0.0208527658034625,0.0208527658034625,1,0.0208527658034625,,HOMEOWNER,0.0001635031734346,,Supplementary Variables (Moderate to Low Impact)
CONFIDENCE_LEVEL,0.0208229001018401,0.0208229001018401,1,0.0208229001018401,100.0,CONFIDENCE_LEVEL,0.0001632690012851,,Supplementary Variables (Moderate to Low Impact)
HH_INCOME_M,0.0203060067100839,0.0203060067100839,1,0.0203060067100839,,HH_INCOME,0.0001592161235672,,Supplementary Variables (Moderate to Low Impact)
HH_INCOME_B,0.0197015773946756,-0.0197015773946756,1,0.0197015773946756,,HH_INCOME,0.0001544768907903,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Comfortable Couples,0.0190901055957438,-0.0190901055957438,1,0.0190901055957438,,BUBBLES,0.0001496824390359,,Supplementary Variables (Moderate to Low Impact)
NET_WORTH_MISSING,0.0153852832621159,-0.0153852832621159,1,0.0153852832621159,,NET_WORTH,0.0001206335246487,,Supplementary Variables (Moderate to Low Impact)
HOME_VALUE_M,0.0151476521206416,0.0151476521206416,1,0.0151476521206416,,HOME_VALUE,0.0001187702971947,,Supplementary Variables (Moderate to Low Impact)
HOME_VALUE_O,0.0146589067990043,0.0146589067990043,1,0.0146589067990043,,HOME_VALUE,0.0001149381239548,,Supplementary Variables (Moderate to Low Impact)
Female_and_Male_Apparel_Recency_of_Purchase,0.014569426886503,-0.014569426886503,1,0.014569426886503,31.698442891267803,Female_and_Male_Apparel_Recency_of_Purchase,0.0001142365263926,,Supplementary Variables (Moderate to Low Impact)
HH_INCOME_Q,0.0144631085963102,-0.0144631085963102,1,0.0144631085963102,,HH_INCOME,0.0001134029018267,,Supplementary Variables (Moderate to Low Impact)
Intimate_Apparel_and_Undergarments_Recency_of_Purchase,0.014373810598504,0.014373810598504,1,0.014373810598504,22.198752543572503,Intimate_Apparel_and_Undergarments_Recency_of_Purchase,0.0001127027306283,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Retired and Relaxed,0.0135965005795343,-0.0135965005795343,1,0.0135965005795343,,BUBBLES,0.0001066079681377,,Supplementary Variables (Moderate to Low Impact)
PART_AFFILIATION_O,0.0134128789064658,-0.0134128789064658,1,0.0134128789064658,,PART_AFFILIATION,0.0001051682202145,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Tik Tok and Tie Dye,0.0134105555817675,-0.0134105555817675,1,0.0134105555817675,,BUBBLES,0.0001051500034003,,Supplementary Variables (Moderate to Low Impact)
HOME_VALUE_A,0.013023632566776,0.013023632566776,1,0.013023632566776,,HOME_VALUE,0.0001021162024445,,Supplementary Variables (Moderate to Low Impact)
PART_AFFILIATION_G,0.0121712099954158,-0.0121712099954158,1,0.0121712099954158,,PART_AFFILIATION,9.543249454514085e-05,,Supplementary Variables (Moderate to Low Impact)
AGE_45-54,0.0116906007410304,0.0116906007410304,1,0.0116906007410304,,AGE,9.16641148963832e-05,,Supplementary Variables (Moderate to Low Impact)
HOME_VALUE_K,0.0116744831665322,0.0116744831665322,1,0.0116744831665322,,HOME_VALUE,9.153773959425977e-05,,Supplementary Variables (Moderate to Low Impact)
AGE_MISSING,0.0109291804698753,0.0109291804698753,1,0.0109291804698753,,AGE,8.569394135563146e-05,,Supplementary Variables (Moderate to Low Impact)
CREDIT_RATING_E,0.0107834929368721,0.0107834929368721,1,0.0107834929368721,,CREDIT_RATING,8.45516289065108e-05,,Supplementary Variables (Moderate to Low Impact)
HH_INCOME_K,0.0095277311041753,0.0095277311041753,1,0.0095277311041753,,HH_INCOME,7.470540291139877e-05,,Supplementary Variables (Moderate to Low Impact)
HOME_VALUE_MISSING,0.0091184201160128,-0.0091184201160128,1,0.0091184201160128,,HOME_VALUE,7.149606146878187e-05,,Supplementary Variables (Moderate to Low Impact)
NET_WORTH_B,0.0091045675124003,-0.0091045675124003,1,0.0091045675124003,,NET_WORTH,7.138744543806763e-05,,Supplementary Variables (Moderate to Low Impact)
Other_Recency_of_Purchase,0.008558288054883,0.008558288054883,1,0.008558288054883,11.663938777315757,Other_Recency_of_Purchase,6.710415631814677e-05,,Supplementary Variables (Moderate to Low Impact)
HH_INCOME_D,0.0080718100493652,0.0080718100493652,1,0.0080718100493652,,HH_INCOME,6.328976073829931e-05,,Supplementary Variables (Moderate to Low Impact)
HOME_VALUE_E,0.0079893459912554,-0.0079893459912554,1,0.0079893459912554,,HOME_VALUE,6.264317335884418e-05,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Mid Century Moderns,0.0078065794375863,0.0078065794375863,1,0.0078065794375863,,BUBBLES,6.121013028895766e-05,,Supplementary Variables (Moderate to Low Impact)
NET_WORTH_E,0.0062180771123944,-0.0062180771123944,1,0.0062180771123944,,NET_WORTH,4.875493975811397e-05,,Supplementary Variables (Moderate to Low Impact)
Male_Apparel_Recency_of_Purchase,0.0052901222579699,-0.0052901222579699,1,0.0052901222579699,21.006591170485713,Male_Apparel_Recency_of_Purchase,4.147899540941225e-05,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Smart Singles,0.0052326606199809,0.0052326606199809,1,0.0052326606199809,,BUBBLES,4.102844797361837e-05,,Supplementary Variables (Moderate to Low Impact)
HOME_VALUE_F,0.0043779543618734,0.0043779543618734,1,0.0043779543618734,,HOME_VALUE,3.432683405476716e-05,,Supplementary Variables (Moderate to Low Impact)
HH_INCOME_R,0.0020563315207635,-0.0020563315207635,1,0.0020563315207635,,HH_INCOME,1.6123363799669725e-05,,Supplementary Variables (Moderate to Low Impact)
BUBBLES_Average Joes,0.0018597973723305,-0.0018597973723305,1,0.0018597973723305,,BUBBLES,1.4582371239740983e-05,,Supplementary Variables (Moderate to Low Impact)
HOMEOWNER_MISSING,0.0016394050669482,0.0016394050669482,1,0.0016394050669482,,HOMEOWNER,1.2854310719126516e-05,,Supplementary Variables (Moderate to Low Impact)
HH_INCOME_C,0.0009261991820352,0.0009261991820352,1,0.0009261991820352,,HH_INCOME,7.262178404659811e-06,,Supplementary Variables (Moderate to Low Impact)
HH_INCOME_O,0.0008470374836838,0.0008470374836838,1,0.0008470374836838,,HH_INCOME,6.641484295450665e-06,,Supplementary Variables (Moderate to Low Impact)
